sex,diversity,legacy,SAT,GPA,extracurricular,TOEFL,AP,letterScore,subject,group,C_SAT,C_GPA,C_extracurricular,C_TOEFL,C_AP,C_letterScore,C_subject,admission
M,W,N,733.407,3.504,6,58.157,7,0.981,3,MWN0110011,0,1,1,0,0,1,1,Y
F,I,N,645.155,4.122,6,76.763,20,0.502,3,FIN0110101,0,1,1,0,1,0,1,N
M,O,Y,1055.88,1.747,7,64.708,1,0.8,0,MOY0010000,0,0,1,0,0,0,0,Y
F,W,N,1314.475,2.296,8,65.368,5,0.621,3,FWN0010001,0,0,1,0,0,0,1,N
M,A,N,636.259,1.433,9,65.647,1,0.106,1,MAN0010000,0,0,1,0,0,0,0,N
M,W,N,1123.947,2.607,7,59.054,0,0.169,3,MWN0010001,0,0,1,0,0,0,1,N
F,H,N,1560.09,2.941,5,103.734,0,0.352,0,FHN0011000,0,0,1,1,0,0,0,N
F,H,N,1678.387,3.725,4,93.162,36,0.195,1,FHN0100100,0,1,0,0,1,0,0,Y
M,O,N,836.263,1.72,8,58.891,9,0.673,2,MON0010100,0,0,1,0,1,0,0,Y
F,A,N,1323.847,2.685,7,66.147,5,0.389,0,FAN0010000,0,0,1,0,0,0,0,N
M,W,N,1083.607,3.059,1,52.157,16,0.789,4,MWN0100101,0,1,0,0,1,0,1,N
M,W,N,1073.856,2.629,6,73.64,12,0.574,3,MWN0010101,0,0,1,0,1,0,1,N
M,O,Y,596.478,1.479,1,52.589,1,0.86,2,MOY0000000,0,0,0,0,0,0,0,Y
F,W,Y,846.703,3.266,9,74.908,5,0.66,3,FWY0110001,0,1,1,0,0,0,1,Y
F,A,N,838.163,1.96,3,66.223,2,0.744,1,FAN0000000,0,0,0,0,0,0,0,Y
M,W,N,1060.897,2.855,3,60.084,2,0.543,0,MWN0000000,0,0,0,0,0,0,0,Y
M,A,N,573.28,2.122,4,68.659,8,0.629,4,MAN0000101,0,0,0,0,1,0,1,N
F,H,N,1373.331,2.34,0,90.525,7,0.794,0,FHN0000000,0,0,0,0,0,0,0,N
M,W,N,1499.027,2.63,1,49.688,4,0.237,4,MWN0000001,0,0,0,0,0,0,1,Y
F,A,N,1113.898,3.944,1,74.986,0,0.448,2,FAN0100000,0,1,0,0,0,0,0,N
F,B,N,1272.383,2.319,6,87.585,0,0.872,0,FBN0010000,0,0,1,0,0,0,0,Y
F,W,N,1313.266,2.892,0,54.073,0,0.054,2,FWN0000000,0,0,0,0,0,0,0,N
M,A,N,720.555,2.668,7,73.543,1,0.452,4,MAN0010001,0,0,1,0,0,0,1,N
M,W,N,1203.041,2.391,2,82.681,2,0.986,2,MWN0000010,0,0,0,0,0,1,0,N
M,W,N,872.419,2.335,2,86.573,7,0.076,2,MWN0000000,0,0,0,0,0,0,0,Y
F,H,N,975.886,2.844,0,109.11,6,0.201,2,FHN0001000,0,0,0,1,0,0,0,N
F,W,N,1284.082,3.728,0,113.286,10,0.681,2,FWN0101100,0,1,0,1,1,0,0,N
M,W,N,836.067,3.073,1,58.192,5,0.546,4,MWN0100001,0,1,0,0,0,0,1,N
F,H,Y,1404.415,3.393,5,89.602,8,0.36,0,FHY0110100,0,1,1,0,1,0,0,Y
F,W,Y,1418.603,2.482,1,77.686,22,0.788,0,FWY0000100,0,0,0,0,1,0,0,N
M,O,N,837.711,2.171,3,75.901,5,0.397,1,MON0000000,0,0,0,0,0,0,0,Y
M,H,Y,788.247,2.874,5,107.943,21,0.458,1,MHY0011100,0,0,1,1,1,0,0,N
M,W,N,967.472,2.269,9,90.13,3,0.854,2,MWN0010000,0,0,1,0,0,0,0,Y
M,W,N,1616.006,2.221,5,42.124,4,0.741,2,MWN0010000,0,0,1,0,0,0,0,Y
F,B,N,1564.434,3.138,8,92.001,0,0.635,0,FBN0110000,0,1,1,0,0,0,0,Y
F,A,N,1240.78,3.022,1,64.752,5,0.694,3,FAN0100001,0,1,0,0,0,0,1,N
F,W,N,1515.113,3.819,8,88.709,2,0.34,0,FWN0110000,0,1,1,0,0,0,0,Y
F,W,N,1518.408,2.159,3,105.229,1,0.42,0,FWN0001000,0,0,0,1,0,0,0,N
F,O,N,1135.668,2.542,2,54.397,3,0.489,1,FON0000000,0,0,0,0,0,0,0,Y
F,O,N,1257.628,3.907,2,78.323,2,0.683,0,FON0100000,0,1,0,0,0,0,0,N
F,I,N,889.637,2.345,0,74.728,3,0.255,4,FIN0000001,0,0,0,0,0,0,1,N
F,W,Y,1048.896,3.596,3,75.538,8,0.527,4,FWY0100101,0,1,0,0,1,0,1,Y
M,O,N,1484.53,1.652,2,62.96,4,0.788,3,MON0000001,0,0,0,0,0,0,1,Y
F,W,N,1703.593,3.074,9,94.997,7,0.717,3,FWN0110001,0,1,1,0,0,0,1,Y
M,W,Y,860.109,3.134,4,79.942,1,0.739,3,MWY0100001,0,1,0,0,0,0,1,N
M,O,N,1320.459,1.43,2,63.782,2,0.398,1,MON0000000,0,0,0,0,0,0,0,N
F,B,N,788.352,1.916,1,89.934,1,0.82,0,FBN0000000,0,0,0,0,0,0,0,Y
F,H,N,1255.303,2.821,5,85.899,3,0.876,2,FHN0010000,0,0,1,0,0,0,0,Y
F,O,N,1034.043,2.906,8,49.949,6,0.695,1,FON0010000,0,0,1,0,0,0,0,N
M,W,Y,750.37,2.437,8,65.597,34,0.31,2,MWY0010100,0,0,1,0,1,0,0,Y
F,O,Y,877.721,3.082,5,60.588,6,0.805,3,FOY0110001,0,1,1,0,0,0,1,N
F,W,Y,1297.56,2.053,5,54.252,3,0.31,0,FWY0010000,0,0,1,0,0,0,0,Y
F,W,N,965.024,2.068,8,72.549,8,0.782,4,FWN0010101,0,0,1,0,1,0,1,N
M,A,Y,1226.674,3.221,5,69.422,31,0.935,4,MAY0110111,0,1,1,0,1,1,1,Y
M,O,N,960.581,2.173,4,51.984,2,0.98,3,MON0000011,0,0,0,0,0,1,1,Y
F,O,N,1190.573,3.435,8,49.158,3,0.93,3,FON0110011,0,1,1,0,0,1,1,Y
F,W,N,1361.197,2.164,2,74.504,3,0.505,3,FWN0000001,0,0,0,0,0,0,1,Y
F,O,N,980.802,2.103,3,66.851,8,0.061,2,FON0000100,0,0,0,0,1,0,0,Y
F,W,N,1386.062,2.896,5,74.568,8,0.317,2,FWN0010100,0,0,1,0,1,0,0,Y
F,W,Y,1771.293,1.986,4,66.113,8,0.634,3,FWY0000101,0,0,0,0,1,0,1,Y
F,H,N,1053.72,1.66,0,97.058,8,0.368,0,FHN0000100,0,0,0,0,1,0,0,Y
M,A,N,1071.015,2.121,1,70.164,7,0.812,3,MAN0000001,0,0,0,0,0,0,1,Y
F,W,N,1077.7,2.766,6,81.227,2,0.774,3,FWN0010001,0,0,1,0,0,0,1,Y
F,H,N,1500.123,3.036,5,106.953,5,0.613,2,FHN0111000,0,1,1,1,0,0,0,N
M,W,Y,1105.373,2.031,5,106.12,3,0.861,1,MWY0011000,0,0,1,1,0,0,0,N
M,A,Y,1376.711,3.032,9,68.392,8,0.002,2,MAY0110100,0,1,1,0,1,0,0,N
M,W,N,846.147,2.983,3,62.39,8,0.616,0,MWN0000100,0,0,0,0,1,0,0,Y
M,B,N,861.662,2.21,7,84.597,9,0.123,4,MBN0010101,0,0,1,0,1,0,1,Y
F,W,N,1230.215,2.762,2,77.37,30,0.764,1,FWN0000100,0,0,0,0,1,0,0,Y
F,O,Y,1227.752,2.955,7,63.23,9,0.124,2,FOY0010100,0,0,1,0,1,0,0,N
F,B,N,540.014,2.919,9,83.17,0,0.791,0,FBN0010000,0,0,1,0,0,0,0,N
F,W,N,1245.27,3.259,1,95.409,0,0.69,3,FWN0100001,0,1,0,0,0,0,1,N
F,I,N,1409.817,2.513,4,52.279,0,0.405,2,FIN0000000,0,0,0,0,0,0,0,N
F,B,N,1432.257,1.885,4,87.224,3,0.679,3,FBN0000001,0,0,0,0,0,0,1,Y
F,A,N,734.197,3.306,5,77.385,3,0.655,4,FAN0110001,0,1,1,0,0,0,1,Y
M,W,N,1212.542,1.373,0,100.221,1,0.529,2,MWN0001000,0,0,0,1,0,0,0,Y
F,W,N,1258.296,2.822,1,85.225,1,0.654,3,FWN0000001,0,0,0,0,0,0,1,N
F,W,N,1068.735,2.909,9,64.588,9,0.639,0,FWN0010100,0,0,1,0,1,0,0,N
M,B,Y,1216.792,3.704,5,83.612,2,0.406,1,MBY0110000,0,1,1,0,0,0,0,Y
M,W,N,1041.043,2.257,5,106.171,4,0.953,1,MWN0011010,0,0,1,1,0,1,0,Y
M,W,N,1021.214,2.214,3,49.977,5,0.593,3,MWN0000001,0,0,0,0,0,0,1,N
F,W,N,1190.818,2.931,6,65.728,6,0.032,4,FWN0010001,0,0,1,0,0,0,1,N
F,W,Y,1199.209,2.603,5,61.369,9,0.3,2,FWY0010100,0,0,1,0,1,0,0,Y
F,W,N,1147.027,1.966,2,97.685,5,0.188,1,FWN0000000,0,0,0,0,0,0,0,N
F,A,N,1041.946,2.717,1,72.213,7,0.638,1,FAN0000000,0,0,0,0,0,0,0,Y
F,W,N,1786.33,3.637,5,98.524,1,0.627,0,FWN0110000,0,1,1,0,0,0,0,Y
M,B,N,1064.603,1.517,5,95.922,0,0.217,4,MBN0010001,0,0,1,0,0,0,1,N
M,A,N,828.99,1.601,3,73.572,4,0.39,4,MAN0000001,0,0,0,0,0,0,1,N
M,W,N,1972.197,2.163,1,56.844,1,0.291,4,MWN0000001,0,0,0,0,0,0,1,N
M,H,N,947.96,2.737,1,107.559,4,0.493,1,MHN0001000,0,0,0,1,0,0,0,Y
F,W,N,1269.797,2.612,1,65.409,8,0.587,2,FWN0000100,0,0,0,0,1,0,0,Y
M,B,N,1088.496,2.446,2,88.121,5,0.994,4,MBN0000011,0,0,0,0,0,1,1,Y
M,W,Y,744.983,1.72,0,82.851,8,0.071,4,MWY0000101,0,0,0,0,1,0,1,Y
M,W,N,1125.631,2.142,1,62.493,5,0.138,1,MWN0000000,0,0,0,0,0,0,0,Y
F,O,N,876.257,1.894,1,73.802,2,0.471,0,FON0000000,0,0,0,0,0,0,0,Y
M,W,N,1261.582,2.061,4,64.52,6,0.983,0,MWN0000010,0,0,0,0,0,1,0,Y
F,W,N,779.295,3.107,1,77.599,7,0.579,4,FWN0100001,0,1,0,0,0,0,1,N
F,H,Y,1340.234,2.889,9,103.809,4,0.859,1,FHY0011000,0,0,1,1,0,0,0,N
M,A,N,1148.215,1.446,5,72.984,3,0.579,0,MAN0010000,0,0,1,0,0,0,0,Y
M,O,N,863.147,2.139,0,84.019,3,0.354,0,MON0000000,0,0,0,0,0,0,0,Y
M,O,N,932.585,1.392,9,64.703,1,0.46,3,MON0010001,0,0,1,0,0,0,1,Y
F,O,N,1430.943,1.835,3,64.741,3,0.461,0,FON0000000,0,0,0,0,0,0,0,Y
F,H,Y,1531.981,2.74,5,88.948,9,0.135,1,FHY0010100,0,0,1,0,1,0,0,Y
F,W,N,1474.079,2.875,6,83.341,4,0.73,1,FWN0010000,0,0,1,0,0,0,0,Y
F,O,Y,1752.92,2.682,9,67.326,2,0.835,3,FOY0010001,0,0,1,0,0,0,1,Y
F,W,N,1291.002,2.646,2,93.71,7,0.731,4,FWN0000001,0,0,0,0,0,0,1,N
F,B,N,892.787,2.291,7,100.567,1,0.752,4,FBN0011001,0,0,1,1,0,0,1,N
F,I,N,1029.067,2.5,9,80.473,1,0.634,4,FIN0010001,0,0,1,0,0,0,1,Y
F,O,N,1036.486,2.184,0,59.846,1,0.797,0,FON0000000,0,0,0,0,0,0,0,N
M,B,N,786.125,2.06,1,86.519,4,0.753,1,MBN0000000,0,0,0,0,0,0,0,Y
F,W,N,558.474,3.508,8,46.583,6,0.385,1,FWN0110000,0,1,1,0,0,0,0,N
M,A,N,852.798,3.016,0,78.42,5,0.931,4,MAN0100011,0,1,0,0,0,1,1,N
F,W,N,1521.491,2.342,0,74.21,4,0.654,0,FWN0000000,0,0,0,0,0,0,0,Y
M,A,N,1313.459,2.298,0,81.293,28,0.944,3,MAN0000111,0,0,0,0,1,1,1,Y
F,B,N,1559.109,3.123,1,85.138,7,0.406,3,FBN0100001,0,1,0,0,0,0,1,N
F,O,N,1225.548,3.029,5,68.347,9,0.845,4,FON0110101,0,1,1,0,1,0,1,N
F,B,Y,987.858,2.791,5,89.573,5,0.29,2,FBY0010000,0,0,1,0,0,0,0,Y
M,O,N,1124.039,2.37,9,62.478,3,0.676,1,MON0010000,0,0,1,0,0,0,0,Y
M,B,N,1152.494,1.617,3,83.422,1,0.721,0,MBN0000000,0,0,0,0,0,0,0,Y
F,W,Y,1329.737,3.695,7,109.815,7,0.687,0,FWY0111000,0,1,1,1,0,0,0,Y
M,A,N,1135.464,2.337,1,67.185,1,0.699,4,MAN0000001,0,0,0,0,0,0,1,Y
M,O,Y,858.198,1.331,3,79.802,7,0.826,0,MOY0000000,0,0,0,0,0,0,0,Y
F,W,N,1061.468,1.546,3,91.236,9,0.359,4,FWN0000101,0,0,0,0,1,0,1,N
M,W,N,985.035,2.764,7,81.652,4,0.862,1,MWN0010000,0,0,1,0,0,0,0,N
F,O,N,1245.36,1.866,2,45.473,8,0.383,1,FON0000100,0,0,0,0,1,0,0,Y
F,A,Y,1162.736,2.11,3,62.799,5,0.25,2,FAY0000000,0,0,0,0,0,0,0,N
F,I,N,1732.013,2.406,7,71.408,2,0.583,2,FIN0010000,0,0,1,0,0,0,0,Y
M,I,Y,1196.467,1.855,3,85.157,2,0.523,2,MIY0000000,0,0,0,0,0,0,0,N
F,H,N,900.929,3.905,7,106.113,6,0.14,0,FHN0111000,0,1,1,1,0,0,0,N
F,O,Y,870.014,2.376,3,52.416,5,0.834,2,FOY0000000,0,0,0,0,0,0,0,Y
M,A,N,858.102,2.057,0,71.436,1,0.333,3,MAN0000001,0,0,0,0,0,0,1,Y
M,W,N,752.422,1.804,7,56.876,3,0.381,0,MWN0010000,0,0,1,0,0,0,0,Y
F,B,Y,1102.602,2.515,6,88.885,2,0.63,3,FBY0010001,0,0,1,0,0,0,1,Y
M,O,N,925.17,2.427,5,81.053,13,0.133,4,MON0010101,0,0,1,0,1,0,1,Y
M,A,N,1246.709,2.14,9,67.698,7,0.445,1,MAN0010000,0,0,1,0,0,0,0,N
M,W,Y,1171.989,2.477,4,79.889,0,0.933,3,MWY0000011,0,0,0,0,0,1,1,Y
M,W,N,1332.156,2.368,3,82.724,4,0.786,1,MWN0000000,0,0,0,0,0,0,0,N
F,A,N,920.41,2.091,3,76.828,4,0.175,2,FAN0000000,0,0,0,0,0,0,0,N
M,B,N,1106.378,2.33,1,97.979,4,0.859,3,MBN0000001,0,0,0,0,0,0,1,Y
F,W,N,1606.381,2.874,2,85.896,17,0.465,0,FWN0000100,0,0,0,0,1,0,0,N
M,O,Y,1106.934,2.726,6,68.162,0,0.788,2,MOY0010000,0,0,1,0,0,0,0,Y
F,A,N,1468.585,3.125,0,72.526,6,0.818,0,FAN0100000,0,1,0,0,0,0,0,Y
M,W,N,993.781,2.523,1,62.707,1,0.527,4,MWN0000001,0,0,0,0,0,0,1,Y
F,O,Y,604.49,2.844,3,61.829,2,0.481,2,FOY0000000,0,0,0,0,0,0,0,Y
M,H,N,1499.467,2.347,5,93.368,7,0.649,1,MHN0010000,0,0,1,0,0,0,0,Y
F,W,N,1503.097,2.127,6,78.128,2,0.487,1,FWN0010000,0,0,1,0,0,0,0,N
F,I,N,941.257,2.616,9,89.154,9,0.069,4,FIN0010101,0,0,1,0,1,0,1,N
M,A,N,845.308,2.309,1,69.536,7,0.108,3,MAN0000001,0,0,0,0,0,0,1,Y
F,A,N,1020.397,1.665,0,65.055,13,0.829,3,FAN0000101,0,0,0,0,1,0,1,N
M,W,N,845.993,1.86,0,68.36,8,0.274,3,MWN0000101,0,0,0,0,1,0,1,Y
F,A,Y,2032.218,2.212,3,69.941,5,0.417,4,FAY1000001,1,0,0,0,0,0,1,Y
M,W,N,974.702,2.177,2,55.559,8,0.601,0,MWN0000100,0,0,0,0,1,0,0,Y
M,A,N,1161.101,1.908,7,71.714,6,0.823,3,MAN0010001,0,0,1,0,0,0,1,N
M,A,N,1010.632,2.214,2,65.639,9,0.837,2,MAN0000100,0,0,0,0,1,0,0,Y
F,O,N,1079.74,2.471,9,70.331,7,0.689,0,FON0010000,0,0,1,0,0,0,0,N
F,I,Y,1699.957,1.608,7,73.565,7,0.454,4,FIY0010001,0,0,1,0,0,0,1,Y
M,W,Y,1028.955,2.078,1,80.252,2,0.292,3,MWY0000001,0,0,0,0,0,0,1,Y
M,B,N,844.491,2.745,3,95.599,2,0.945,2,MBN0000010,0,0,0,0,0,1,0,Y
F,A,N,924.146,3.143,6,76.085,3,0.237,2,FAN0110000,0,1,1,0,0,0,0,N
F,H,N,1301.611,2.906,9,84.818,9,0.564,2,FHN0010100,0,0,1,0,1,0,0,Y
M,A,N,1334.13,1.894,2,69.146,3,0.02,2,MAN0000000,0,0,0,0,0,0,0,N
M,O,N,527.856,1.995,4,50.401,9,0.54,2,MON0000100,0,0,0,0,1,0,0,N
F,W,N,1681.726,2.739,7,75.84,32,0.996,4,FWN0010111,0,0,1,0,1,1,1,Y
M,W,N,1411.438,2.262,8,71.433,0,0.066,1,MWN0010000,0,0,1,0,0,0,0,N
F,W,N,500.34,3.453,3,67.366,4,0.735,3,FWN0100001,0,1,0,0,0,0,1,N
F,O,Y,1303.897,2.63,4,52.719,4,0.549,2,FOY0000000,0,0,0,0,0,0,0,Y
F,O,N,1439.438,3.029,0,59.522,0,0.358,3,FON0100001,0,1,0,0,0,0,1,Y
M,W,N,1526.095,2.683,5,68.126,1,0.936,1,MWN0010010,0,0,1,0,0,1,0,Y
F,W,N,1228.273,2.949,6,61.214,2,0.174,1,FWN0010000,0,0,1,0,0,0,0,Y
M,W,N,898.108,1.832,4,64.55,5,0.643,2,MWN0000000,0,0,0,0,0,0,0,N
M,H,N,623.774,3.581,5,95.786,1,0.259,2,MHN0110000,0,1,1,0,0,0,0,Y
M,I,N,1215.407,1.953,4,72.429,2,0.033,4,MIN0000001,0,0,0,0,0,0,1,Y
F,W,N,840.601,2.172,3,82.94,9,0.711,2,FWN0000100,0,0,0,0,1,0,0,N
M,W,N,1153.761,1.724,4,77.808,2,0.152,0,MWN0000000,0,0,0,0,0,0,0,Y
M,H,N,755.235,2.875,2,112.042,7,0.791,1,MHN0001000,0,0,0,1,0,0,0,Y
M,A,Y,1058.117,1.024,4,66.508,14,0.182,3,MAY0000101,0,0,0,0,1,0,1,Y
F,I,Y,1375.523,3.073,8,79.91,9,0.941,2,FIY0110110,0,1,1,0,1,1,0,N
M,B,Y,923.439,2.392,9,87.386,1,0.567,3,MBY0010001,0,0,1,0,0,0,1,Y
M,O,Y,681.177,2.532,9,67.328,23,0.375,0,MOY0010100,0,0,1,0,1,0,0,Y
F,W,Y,1194.868,2.392,5,80.449,8,0.53,3,FWY0010101,0,0,1,0,1,0,1,Y
M,W,N,908.58,2.291,3,101.595,9,0.282,4,MWN0001101,0,0,0,1,1,0,1,Y
F,A,N,1046.38,2.542,1,70.021,10,0.585,4,FAN0000101,0,0,0,0,1,0,1,Y
M,W,N,1189.871,1.723,0,50.885,7,0.568,0,MWN0000000,0,0,0,0,0,0,0,N
F,O,N,825.716,2.477,9,64.655,9,0.158,1,FON0010100,0,0,1,0,1,0,0,Y
M,B,N,1192.031,1.769,7,85.434,3,0.108,4,MBN0010001,0,0,1,0,0,0,1,Y
M,W,N,755.911,3.483,2,95.806,7,0.043,3,MWN0100001,0,1,0,0,0,0,1,N
F,I,N,1181.198,2.448,7,73.231,0,0.984,2,FIN0010010,0,0,1,0,0,1,0,Y
M,W,N,562.871,1.329,1,69.209,9,0.77,0,MWN0000100,0,0,0,0,1,0,0,N
M,A,N,1083.464,1.099,8,60.683,3,0.268,4,MAN0010001,0,0,1,0,0,0,1,N
F,W,N,952.127,3.804,3,95.12,8,0.155,0,FWN0100100,0,1,0,0,1,0,0,N
M,W,Y,841.603,2.426,2,104.589,9,0.719,0,MWY0001100,0,0,0,1,1,0,0,Y
M,I,N,919.403,2.353,2,80.824,1,0.636,0,MIN0000000,0,0,0,0,0,0,0,N
M,W,N,1013.158,2.33,6,85.1,9,0.822,2,MWN0010100,0,0,1,0,1,0,0,Y
F,W,N,1404.664,2.03,5,65.576,8,0.931,0,FWN0010110,0,0,1,0,1,1,0,Y
F,O,Y,770.219,2.016,4,52.696,21,0.883,2,FOY0000100,0,0,0,0,1,0,0,Y
F,A,N,1361.349,3.013,1,69.313,4,0.132,1,FAN0100000,0,1,0,0,0,0,0,N
F,W,N,976.689,2.558,0,86.8,2,0.624,1,FWN0000000,0,0,0,0,0,0,0,Y
M,B,N,1618.102,2.512,9,86.35,8,0.578,1,MBN0010100,0,0,1,0,1,0,0,N
M,A,Y,664.977,2.65,2,74.615,0,0.579,4,MAY0000001,0,0,0,0,0,0,1,Y
M,W,Y,1091.024,2.249,8,77.151,8,0.032,0,MWY0010100,0,0,1,0,1,0,0,N
F,O,Y,879.29,2.597,0,56.18,20,0.578,3,FOY0000101,0,0,0,0,1,0,1,Y
M,W,N,677.444,2.536,0,98.468,5,0.081,1,MWN0000000,0,0,0,0,0,0,0,N
M,A,Y,1018.88,2.736,6,69.9,9,0.785,1,MAY0010100,0,0,1,0,1,0,0,Y
M,I,N,453.233,2.889,7,80.748,0,0.618,4,MIN0010001,0,0,1,0,0,0,1,Y
M,W,Y,542.698,3.518,7,71.584,8,0.942,4,MWY0110111,0,1,1,0,1,1,1,N
M,A,N,1371.901,2.081,2,70.106,6,0.041,2,MAN0000000,0,0,0,0,0,0,0,N
F,A,N,1791.103,1.677,9,67.732,7,0.732,3,FAN0010001,0,0,1,0,0,0,1,N
F,A,N,1053.33,3.414,8,73.621,9,0.503,0,FAN0110100,0,1,1,0,1,0,0,N
F,W,N,1342.974,3.058,9,87.893,9,0.358,3,FWN0110101,0,1,1,0,1,0,1,N
F,B,N,1107.159,3.391,9,87.067,7,0.445,0,FBN0110000,0,1,1,0,0,0,0,N
M,B,N,706.267,3.706,8,84.68,7,0.255,2,MBN0110000,0,1,1,0,0,0,0,N
M,W,N,965.56,2.604,1,57.888,3,0.596,1,MWN0000000,0,0,0,0,0,0,0,Y
F,B,Y,709.335,2.498,8,92.075,4,0.684,3,FBY0010001,0,0,1,0,0,0,1,Y
F,O,N,1337.314,1.955,6,53.349,5,0.336,4,FON0010001,0,0,1,0,0,0,1,Y
M,O,N,1068.583,0.811,6,55.388,9,0.501,0,MON0010100,0,0,1,0,1,0,0,Y
F,I,N,1168.816,2.229,9,83.346,3,0.703,2,FIN0010000,0,0,1,0,0,0,0,N
M,B,N,1232.584,2.135,1,86.99,3,0.936,3,MBN0000011,0,0,0,0,0,1,1,N
F,H,N,1109.081,3.551,4,93.728,1,0.388,1,FHN0100000,0,1,0,0,0,0,0,N
F,W,N,1178.201,2.038,9,72.88,28,0.829,1,FWN0010100,0,0,1,0,1,0,0,Y
M,A,N,1080.33,1.538,5,72.043,6,0.774,1,MAN0010000,0,0,1,0,0,0,0,N
M,B,N,513.606,2.565,9,92.892,30,0.951,0,MBN0010110,0,0,1,0,1,1,0,Y
M,W,N,870.049,3.167,1,106.44,3,0.782,1,MWN0101000,0,1,0,1,0,0,0,N
M,I,N,1048.055,4.151,0,62.206,9,0.072,2,MIN0100100,0,1,0,0,1,0,0,Y
M,W,N,781.364,2.981,0,108.665,9,0.623,4,MWN0001101,0,0,0,1,1,0,1,N
M,W,N,1110.243,2.876,2,72.904,9,0.907,1,MWN0000110,0,0,0,0,1,1,0,N
F,W,N,1145.084,2.742,9,92.718,6,0.243,1,FWN0010000,0,0,1,0,0,0,0,N
M,A,N,732.059,1.204,6,61.175,8,0.39,0,MAN0010100,0,0,1,0,1,0,0,Y
F,I,N,1346.257,2.622,2,77.379,9,0.075,2,FIN0000100,0,0,0,0,1,0,0,N
M,W,N,1279.666,3.02,3,61.479,0,0.504,4,MWN0100001,0,1,0,0,0,0,1,Y
M,W,N,942.837,2.375,2,45.65,2,0.255,2,MWN0000000,0,0,0,0,0,0,0,Y
F,W,N,2147.007,3.038,2,112.153,9,0.231,3,FWN1101101,1,1,0,1,1,0,1,Y
M,W,N,1104.602,3.627,4,67.562,7,0.028,0,MWN0100000,0,1,0,0,0,0,0,Y
F,B,N,1516.173,2.977,6,90.345,9,0.107,0,FBN0010100,0,0,1,0,1,0,0,N
M,O,N,1130.599,1.823,8,54.292,8,0.524,1,MON0010100,0,0,1,0,1,0,0,Y
M,W,Y,1189.983,2.29,8,88.491,9,0.244,3,MWY0010101,0,0,1,0,1,0,1,N
M,W,N,782.031,2.407,0,77.678,4,0.132,3,MWN0000001,0,0,0,0,0,0,1,Y
F,W,N,964.018,1.894,3,72.457,3,0.572,0,FWN0000000,0,0,0,0,0,0,0,N
M,A,N,1755.871,2.29,4,72.512,4,0.436,3,MAN0000001,0,0,0,0,0,0,1,Y
F,A,N,1199.488,1.41,4,65.453,4,0.291,4,FAN0000001,0,0,0,0,0,0,1,Y
M,W,N,817.686,2.552,2,67.66,6,0.906,3,MWN0000011,0,0,0,0,0,1,1,Y
M,W,N,1368.279,2.118,0,106.932,7,0.322,2,MWN0001000,0,0,0,1,0,0,0,Y
M,O,N,1215.429,1.624,4,56.636,6,0.552,0,MON0000000,0,0,0,0,0,0,0,N
F,I,N,799.283,3.578,1,81.499,4,0.764,2,FIN0100000,0,1,0,0,0,0,0,Y
M,W,N,684.688,2.26,0,77.36,4,0.792,2,MWN0000000,0,0,0,0,0,0,0,N
M,W,N,760.771,2.191,5,82.579,4,0.863,2,MWN0010000,0,0,1,0,0,0,0,N
M,W,N,858.189,2.797,7,70.287,28,0.248,2,MWN0010100,0,0,1,0,1,0,0,N
F,W,Y,1658.912,2.846,4,95.822,5,0.254,4,FWY0000001,0,0,0,0,0,0,1,N
F,H,N,1078.679,2.666,8,100.553,4,0.835,2,FHN0011000,0,0,1,1,0,0,0,Y
M,W,Y,763.669,3.064,5,74.976,1,0.761,2,MWY0110000,0,1,1,0,0,0,0,N
M,A,N,1494.484,2.208,6,74.294,1,0.808,3,MAN0010001,0,0,1,0,0,0,1,N
F,A,N,1452.954,3.054,9,74.659,13,0.452,1,FAN0110100,0,1,1,0,1,0,0,N
F,A,Y,1260.896,3.227,2,69.793,2,0.364,0,FAY0100000,0,1,0,0,0,0,0,Y
M,A,N,799.532,2.07,3,68.437,4,0.693,4,MAN0000001,0,0,0,0,0,0,1,N
F,B,N,1685.793,2.724,4,91.777,1,0.82,0,FBN0000000,0,0,0,0,0,0,0,Y
F,W,N,1021.378,2.385,5,111.376,3,0.548,2,FWN0011000,0,0,1,1,0,0,0,N
F,A,N,1082.808,2.556,0,67.538,1,0.55,4,FAN0000001,0,0,0,0,0,0,1,Y
F,A,N,1771.077,3.18,2,73.831,9,0.472,2,FAN0100100,0,1,0,0,1,0,0,Y
F,H,N,1396.636,2.325,1,114.218,3,0.569,4,FHN0001001,0,0,0,1,0,0,1,N
F,W,Y,336.709,3.225,8,70.66,5,0.134,1,FWY0110000,0,1,1,0,0,0,0,Y
M,W,Y,1078.113,2.719,1,106.919,3,0.377,4,MWY0001001,0,0,0,1,0,0,1,Y
M,W,N,1228.035,3.393,8,76.871,0,0.47,1,MWN0110000,0,1,1,0,0,0,0,Y
F,A,N,1372.62,3.404,6,75.385,5,0.019,3,FAN0110001,0,1,1,0,0,0,1,N
M,W,Y,1239.722,1.996,6,106.845,1,0.385,2,MWY0011000,0,0,1,1,0,0,0,Y
F,W,Y,1552.586,1.99,8,69.532,8,0.765,1,FWY0010100,0,0,1,0,1,0,0,Y
M,H,N,1140.565,2.209,8,103.541,0,0.405,4,MHN0011001,0,0,1,1,0,0,1,N
